date,open,high,low,close,adj_close,volume,daily_return,50_day_ma,200_day_ma
,,,,,,,,,
,,,,,,,,,
2022-01-03,170.4044952392578,170.70350646972656,166.16050720214844,167.5500030517578,63520000.0,,,,
2022-01-04,167.52200317382812,171.39999389648438,166.34950256347656,170.43800354003906,70726000.0,,0.017236648377673358,,
2022-01-05,164.35699462890625,167.12649536132812,164.35699462890625,166.88299560546875,64302000.0,,-0.020858070739693813,,
2022-01-06,163.25399780273438,164.8000030517578,161.93699645996094,163.45050048828125,51958000.0,,-0.02056827362628566,,
2022-01-07,162.5540008544922,165.24349975585938,162.0310059,163.83900451660156,46606000.0,,0.002376891029147732,,
2022-01-10,161.48599243164062,161.6614990234375,156.30450439453125,160.5854949951172,87798000.0,,-0.019857966856449583,,
2022-01-11,165.36199951171875,166.35000610351562,160.70150756835938,161.5,62806000.0,,0.005694816987739992,,
2022-01-12,165.20700073242188,166.8780059814453,164.41700744628906,166.5749969482422,50030000.0,,0.03142412971047803,,
2022-01-13,161.21400451660156,166.22149658203125,161.09100341796875,165.25050354003906,52188000.0,,-0.007951333828417617,,
2022-01-14,162.13800048828125,162.25,159.80050659179688,160.14999389648438,45974000.0,,-0.030865319828322746,,
2022-01-18,158.91749572753906,159.7344970703125,157.6645050048828,159.10499572753906,67292000.0,,-0.0065251215034123344,,
2022-01-19,156.2989959716797,159.25,156.25,158.76199340820312,53242000.0,,-0.0021558236921945806,,
2022-01-20,151.66749572753906,158.0,151.3509979248047,156.76600646972656,71974000.0,,-0.012572196251936396,,
2022-01-21,142.64300537109375,150.89999389648438,142.07049560546875,149.9499969482422,163972000.0,,-0.04347887450204724,,
2022-01-24,144.54400634765625,144.94500732421875,135.3520050048828,139.0,155624000.0,,-0.07302432258149205,,
2022-01-25,139.98599243164062,143.60000610351562,138.14500427246094,142.24249267578125,90824000.0,,0.023327285437275247,,
2022-01-26,138.87249755859375,145.18499755859375,137.31849670410156,144.75,95602000.0,,0.017628398357263153,,
2022-01-27,139.6374969482422,144.24349975585938,139.35000610351562,140.8000030517578,77516000.0,,-0.027288407241742196,,
2022-01-28,143.97799682617188,143.9980010986328,137.92950439453125,140.86050415039062,74392000.0,,0.00042969529347636204,,
2022-01-31,149.57350158691406,150.36050415039062,144.30050659179688,144.75,78308000.0,,0.027612394780702543,,
2022-02-01,151.19349670410156,151.70799255371094,147.62750244140625,150.0,59220000.0,,0.03626943005181338,,
2022-02-02,150.6125030517578,155.0749969482422,148.86349487304688,155.05050659179688,87330000.0,,0.03367004394531259,,
2022-02-03,138.8455047607422,144.24749755859375,138.33299255371094,141.7375030517578,225532000.0,,-0.08586236725487362,,
2022-02-04,157.63949584960938,161.1999969482422,150.60800170898438,155.60650634765625,253456000.0,,0.09784991972684853,,
2022-02-07,157.9355010986328,162.6909942626953,157.25,158.52000427246094,102624000.0,,0.018723496807359297,,
2022-02-08,161.4134979248047,161.79249572753906,155.55050659179688,156.75050354003906,76040000.0,,-0.011162633640739106,,
2022-02-09,161.1894989013672,163.83450317382812,160.25,162.87350463867188,68786000.0,,0.03906208248363807,,
