Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,162.4871368408203,153.56300354003906,134.4143829345703,291.2549743652344,290.1433410644531,162.78235630766343,154.4499969482422,135.10556696702054,291.59615384176226,292.28668212890625,159.84002681342048,150.85000610351562,131.96160142081268,285.6109811188131,271.57000732421875,160.45998619224247,152.4250030517578,132.4169288111751,286.8879425112131,271.6700134277344,95056600,57684000,38864000,34627500,99006900
2022-03-01,160.59774780273438,151.14199829101562,133.42361450195312,287.5118103027344,288.1233215332031,163.94354328714707,154.0989990234375,135.60717546651932,292.40520263800084,296.6266784667969,159.3873645469528,149.9770050048828,132.58463846083353,284.7824043016217,284.59332275390625,162.07383007117033,152.7324981689453,134.23672846802612,288.9252256042664,289.8933410644531,83474400,44874000,26496000,31217800,74766900
2022-03-02,163.9041748046875,152.05250549316406,133.93118286132812,292.6196594238281,293.2966613769531,164.69142169446647,152.99949645996094,134.61888922639284,293.8673785477649,295.49334716796875,160.35173616541616,148.75,132.43832018027874,286.29333703933276,281.42333984375,161.7687775639212,150.8489990234375,133.9874173025302,287.91144814315027,290.7099914550781,79724800,47334000,23520000,31873000,74643300
2022-03-03,163.57943725585938,147.89849853515625,133.26239013671875,288.4573669433594,279.7633361816406,166.21671212228483,153.9290008544922,135.79029772447288,295.4855335304221,295.4800109863281,162.91028714997404,146.8560028076172,132.39254063011379,286.6345004718667,277.5333251953125,165.78372557589515,153.531494140625,135.3628369812351,295.2515954797372,292.92333984375,76678400,65198000,24604000,27314500,61623600
2022-03-04,160.56822204589844,145.64100646972656,131.27883911132812,282.5501403808594,279.42999267578125,162.9102773059474,147.85000610351562,133.21459144293246,288.20389071093314,285.2166748046875,159.51529120397137,143.8070068359375,129.7173046928894,279.92800561542646,275.0533447265625,161.86718160657645,147.15899658203125,132.29499215181391,286.8684448672686,283.0333251953125,83737200,60934000,30430000,32356500,66999600
2022-03-07,156.7599334716797,137.4530029296875,125.77716064453125,271.8763427734375,268.1933288574219,162.38872815867046,146.09449768066406,131.10817177136278,282.38448735317786,288.71331787109375,156.5040696124171,137.41650390625,125.69405425346693,271.5059210014731,268.19000244140625,160.75519357831982,145.44349670410156,130.86235301354495,281.2537371143296,285.4333190917969,96418800,86934000,45112000,43157200,72494100
2022-03-08,154.92958068847656,136.01449584960938,126.49970245361328,268.8934326171875,274.79998779296875,160.28284087725882,140.69949340820312,130.62547723294597,276.79889483000477,283.3299865722656,153.31573151528343,133.57249450683594,125.07650647413256,263.1909559552312,260.72332763671875,156.28758103481016,136.68350219726562,125.6492685764528,270.7942383391963,265.1766662597656,131148300,91662000,40428000,48159500,80399100
2022-03-09,160.35171508789062,139.2790069580078,132.78515625,281.2244567871094,286.3233337402344,160.80438687004462,140.25,133.09916098406526,282.29672236396794,286.85333251953125,156.86816795403388,136.8280029296875,129.28240208203147,273.6991425767522,277.336669921875,158.905153435018,139.5,130.62548341324316,276.2920648815301,279.82666015625,91454900,82656000,37026000,35204500,59184000
2022-03-10,155.9923553466797,146.8175048828125,131.79937744140625,278.3878479003906,279.4333190917969,157.83253283188523,148.67449951171875,132.6378674373792,279.3723867449448,284.8166809082031,153.49284799843335,143.97799682617188,130.28959734180035,273.50418301542686,270.1199951171875,157.64556003629005,145.68499755859375,130.64141568020557,275.88265227991445,283.8166809082031,105342000,135062000,27102000,30628000,58648500
2022-03-11,152.26280212402344,145.52450561523438,129.25254821777344,273.0070495605469,265.1166687011719,156.74025467661986,149.6750030517578,133.15887530088736,282.2089888863428,281.26666259765625,152.03647371376925,145.36900329589844,129.01468700810108,272.38317514959226,264.5899963378906,156.39582947431037,149.57449340820312,132.85332926637238,280.6980597805448,280.0666809082031,96970100,68900000,31526000,27209300,67037100
