date,open,high,low,close,adj_close,volume
,,,,,,
,,,,,,
1/3/22,170.4044952392578,170.70350646972656,166.16050720214844,167.5500030517578,6.352E7,
1/4/22,167.52200317382812,171.39999389648438,166.34950256347656,170.43800354003906,7.0726E7,
1/5/22,164.35699462890625,167.12649536132812,164.35699462890625,166.88299560546875,6.4302E7,
1/6/22,163.25399780273438,164.8000030517578,161.93699645996094,163.45050048828125,5.1958E7,
1/7/22,162.5540008544922,165.24349975585938,162.0310059,163.83900451660156,4.6606E7,
1/10/22,161.48599243164062,161.6614990234375,156.30450439453125,160.5854949951172,8.7798E7,
1/11/22,165.36199951171875,166.35000610351562,160.70150756835938,161.5,6.2806E7,
1/12/22,165.20700073242188,166.8780059814453,164.41700744628906,166.5749969482422,5.003E7,
1/13/22,161.21400451660156,166.22149658203125,161.09100341796875,165.25050354003906,5.2188E7,
1/14/22,162.13800048828125,162.25,159.80050659179688,160.14999389648438,4.5974E7,
1/18/22,158.91749572753906,159.7344970703125,157.6645050048828,159.10499572753906,6.7292E7,
1/19/22,156.2989959716797,159.25,156.25,158.76199340820312,5.3242E7,
1/20/22,151.66749572753906,158,151.3509979248047,156.76600646972656,7.1974E7,
1/21/22,142.64300537109375,150.89999389648438,142.07049560546875,149.9499969482422,1.63972E8,
1/24/22,144.54400634765625,144.94500732421875,135.3520050048828,139,1.55624E8,
1/25/22,139.98599243164062,143.60000610351562,138.14500427246094,142.24249267578125,9.0824E7,
1/26/22,138.87249755859375,145.18499755859375,137.31849670410156,144.75,9.5602E7,
1/27/22,139.6374969482422,144.24349975585938,139.35000610351562,140.8000030517578,7.7516E7,
1/28/22,143.97799682617188,143.9980010986328,137.92950439453125,140.86050415039062,7.4392E7,
1/31/22,149.57350158691406,150.36050415039062,144.30050659179688,144.75,7.8308E7,
2/1/22,151.19349670410156,151.70799255371094,147.62750244140625,150,5.922E7,
2/2/22,150.6125030517578,155.0749969482422,148.86349487304688,155.05050659179688,8.733E7,
2/3/22,138.8455047607422,144.24749755859375,138.33299255371094,141.7375030517578,2.25532E8,
2/4/22,157.63949584960938,161.1999969482422,150.60800170898438,155.60650634765625,2.53456E8,
2/7/22,157.9355010986328,162.6909942626953,157.25,158.52000427246094,1.02624E8,
2/8/22,161.4134979248047,161.79249572753906,155.55050659179688,156.75050354003906,7.604E7,
2/9/22,161.1894989013672,163.83450317382812,160.25,162.87350463867188,6.8786E7,
2/10/22,159.0034942626953,160.7165069580078,157.75,158.35000610351562,6.8268E7,
2/11/22,153.2935028076172,159,152.73399353027344,158.13450622558594,7.71E7,
2/14/22,155.16700744628906,158.44850158691406,151.64999389648438,151.75100708007812,8.323E7,
2/15/22,156.510498,158.0070037841797,154.6374969482422,157.60549926757812,5.644E7,
2/16/22,158.10049438476562,158.83399963378906,154.7344970703125,155.79049682617188,5.2704E7,
2/17/22,154.65249633789062,160.3489990234375,154.5,158.1459961,6.4032E7,
2/18/22,152.60150146484375,155.49949645996094,150.89300537109375,155.49949645996094,6.3604E7,
2/22/22,150.19749450683594,152.9824981689453,148.48550415039062,150.47850036621094,6.6128E7,
2/23/22,144.82699584960938,151.76300048828125,144.6510009765625,151.65049743652344,6.4244E7,
